occurrence, reduction, nogood
 10, 1960, how[4]=-1 objective>=215 how[6]>0 how[9]=-2 used[2]=false how[6]=-2 how[5]=-2 how[4]=-2 how[9]=-1 how[6]=-1 how[5]=-1 how[2]!=1
 28, 1850, how[1]=-1 how[8]=-1 how[7]=-1 how[6]=-1 how[5]=-1 how[4]=-1 how[3]=-1 how[2]=-1 how[9]<=0 how[9]>=2
 22, 1726, how[2]!=3 how[7]!=-3
 18, 1636, how[5]!=2 how[9]=-2 how[8]=-2 objective>=215 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[1]=-2 how[9]>0 how[7]=-2 how[3]>=-1
 22, 1596, how[2]!=3 how[1]!=-3
 7, 1523, how[4]!=5 how[7]>=-4
 7, 1523, how[4]!=5 how[1]>=-4
 2, 1485, how[1]=-2 how[5]=-1 how[9]=-1 how[4]=-1 how[5]!=2 objective>=205 how[9]>0 how[9]=-2 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[2]!=1
 5, 1445, how[5]!=2 objective>=198 how[9]>0 how[1]=-2 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[9]=-2 how[8]>=1
 1, 1417, how[7]<=-5 how[4]!=5 how[1]<=-5 how[7]=-1 how[5]!=1 how[1]=-1 how[4]!=5 how[5]=-3 how[4]=-3 how[4]=-2 how[5]=-2 how[5]!=1 objective>=198 how[4]=-1 used[5]=false how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[5]=-4 how[4]=-4 how[5]=-1 used[1]=false how[9]=-5 how[9]<=3 how[9]>=5
 1, 1417, how[9]>0 how[9]=-5 how[7]=-5 how[5]=-5 how[4]=-5 used[5]=false how[1]=-5 how[5]!=1 objective>=198 used[1]=false how[7]=-1 how[5]=-1 how[4]=-1 how[1]=-1 how[9]=-1 how[2]<=4
 1, 1417, how[4]!=5 how[4]!=5 how[7]<=-5 how[5]=-3 how[4]=-3 how[1]<=-5 how[5]=-4 how[4]=-4 how[4]=-2 how[5]=-2 used[1]=false how[5]!=1 objective>=198 how[9]=-5 used[5]=false how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[7]=-1 how[5]=-1 how[4]=-1 how[1]=-1 how[9]<=1 how[9]>=3
 1, 1417, used[1]=false how[4]!=5 how[4]!=5 how[5]!=1 how[7]<=-5 how[5]!=1 how[1]<=-5 how[5]=-4 how[4]=-4 how[5]=-2 how[4]=-2 how[1]=-1 objective>=198 how[9]=-5 used[5]=false how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[7]=-1 how[5]=-3 how[4]=-3 how[5]=-1 how[4]=-1 how[9]<=2 how[9]>=4
 1, 1417, how[4]!=5 how[4]!=5 how[5]!=1 how[1]<=-5 how[7]<=-5 how[5]=-3 how[4]=-3 how[4]=-2 how[5]=-2 how[5]!=1 objective>=198 how[4]=-1 how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[5]=-4 how[4]=-4 how[5]=-1 used[1]=false used[5]=false how[9]<=4
 1, 1417, how[4]!=5 how[7]<=-5 how[4]!=5 how[5]!=1 how[5]=-2 how[4]=-2 how[7]=-1 how[5]!=1 used[1]=false how[1]=-1 how[9]=-5 used[5]=false how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[4]=-1 objective>=198 how[5]=-4 how[4]=-4 how[5]=-3 how[4]=-3 how[1]<=-5 how[5]=-1 how[9]>0 how[9]<=-1
 1, 1417, how[9]>0 how[9]=-5 how[7]=-5 how[5]=-5 how[4]=-5 used[5]=false used[1]=false how[1]=-5 how[5]!=1 objective>=198 how[9]=-1 how[7]=-1 how[5]=-1 how[4]=-1 how[1]=-1 how[2]=-5 how[2]=-1
 1, 1417, how[5]!=1 how[4]!=5 how[7]<=-5 how[1]<=-5 how[4]!=5 how[5]=-4 how[4]=-4 how[5]=-3 how[4]=-3 how[5]=-2 how[4]=-2 how[5]!=1 used[1]=false objective>=198 how[9]=-5 used[5]=false how[7]=-5 how[5]=-5 how[4]=-5 how[1]=-5 how[1]=-1 how[7]=-1 how[5]=-1 how[4]=-1 how[9]<=0 how[9]>=2
 23, 1405, how[5]!=2 objective>=205 how[2]>0 how[9]=-2 how[1]=-2 how[7]=-2 how[5]=-2 how[4]=-2 used[2]=false how[2]=-2 how[8]=-2 how[3]>=1
 2, 1371, how[1]=-2 how[7]=-2 how[5]=-4 how[4]=-4 how[5]=-3 how[4]=-3 how[9]=-3 how[9]=-4 how[4]=-1 how[5]=-5 how[4]=-5 how[9]=-5 how[5]!=2 how[1]=-2 objective>=198 used[1]=false how[9]=-2 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[9]=-1 how[5]=-1 used[5]=false how[2]!=5
 20, 1359, objective>=205 how[2]>0 how[9]=-2 used[2]=false how[7]=-2 how[5]=-2 how[4]=-2 how[2]=-2 how[1]=-2 how[8]=-2 how[1]>0
 39, 1354, used[1]=false how[8]=-1 how[6]=-1 how[5]=-1 how[4]=-1 how[3]=-1 how[9]=-1 how[2]!=1
 7, 1322, how[4]=-2 how[6]=-4 how[6]=-2 objective>=215 how[5]=-4 how[4]=-4 used[2]=false how[9]=-2 how[6]>0 how[9]=-4 how[5]=-2 how[2]<=3 how[2]>=5
 20, 1280, how[1]=-2 how[9]=-3 how[5]=-3 how[4]=-3 how[2]=-3 how[9]=-2 how[4]=-2 how[7]=-2 how[5]=-2 how[2]=-2 used[2]=false how[8]!=3
 11, 1259, how[4]=-1 objective>=198 how[5]>0 how[9]=-5 how[5]=-1 how[5]=-5 how[4]=-5 how[9]=-1 used[5]=false how[2]!=1
 1, 1257, how[3]!=2 how[7]=-4 how[2]=-4 how[9]=-4 how[8]=-4 how[6]=-4 how[5]=-4 how[4]=-4 how[3]=-4 how[7]=-3 how[2]=-3 how[9]=-3 how[3]=-3 how[6]=-3 how[5]=-3 how[4]=-3 how[8]=-3 how[1]<=1 how[7]<=1 how[8]!=2 how[5]!=2 how[9]!=5 how[2]!=5
 28, 1212, objective>=198 how[5]=-3 how[4]=-3 how[5]>0 how[9]=-3 how[2]=-3 used[3]=false
 3, 1155, used[1]=false how[5]!=5 how[1]<=-5 how[6]=-3 how[5]=-3 how[4]=-3 how[9]=-3 how[9]=-4 how[6]=-4 how[5]=-4 how[4]=-4 how[7]<=-5 objective>=215 how[6]>0 how[9]=-2 used[2]=false how[6]=-2 how[5]=-2 how[4]=-2 how[9]=-1 how[6]=-1 how[5]=-1 how[4]=-1 how[2]!=2
 25, 1104, how[9]=-4 used[4]=false how[7]=-4 how[5]=-4 how[4]=-4 used[5]=false how[1]=-4 objective>=215 how[9]=-5 how[5]=-5 how[4]=-5 how[2]=-5 how[2]=-4 how[6]<=-4
 1, 1096, how[5]!=5 how[8]=-5 how[7]=-5 used[5]=false how[5]=-5 how[4]=-5 how[2]=-5 how[1]=-5 objective>=205 how[4]>0 how[5]=-3 used[3]=false how[9]<=4
 7, 1033, how[9]!=-1 how[8]!=1
 30, 1000, how[2]!=5 how[7]>=-4
